database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L_01_1	L_02_1	L_03_1	L_04_1	L_05_1	L_06_1	L_08_1	L_09_1	L_10_1	L_11_1	L_12_1	L_13_1	L_16_1	L_17_1	L_18_1	L_19_1	L_20_1	L_21_1	L_22_1	L_23_1	L_24_1	L_25_1	L_26_1	L_27_1	L_28_1	L_29_1	L_30_1	L_31_1	L_32_1	L_33_1	L_34_1	L_35_1	L_36_1	L_37_1	L_38_1	L_39_1	L_40_1	L_42_1	L_44_1	L_45_1	L_46_1	L_47_1	L_48_1	L_50_1	L_51_1	L_52_1	L_53_1	L_54_1	L_57_1	L_60_1	alkane_1
CHEBI:71176	C4H6O4	O[C@H]1COC(=O)[C@@H]1O	InChI=1S/C4H6O4/c5-2-1-8-4(7)3(2)6/h2-3,5-6H,1H2/t2-,3+/m0/s1	Threonic acid-1,4-lactone					1370	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										60.8768	38.684	65.4261	61.5393	60.6245	70.2021	65.0407	61.6886	60.1169	73.5707	61.2091	64.3666	41.3036	50.2785	73.0864	74.2271	57.4674	55.6799	57.9019	37.8537	27.8077	47.4482	52.452	51.9476	39.4203	53.0549	47.4644	54.3131	30.3061	54.5233	41.7718	43.1373	26.5816	48.3012	46.8966	37.6517	37.6526	54.7763	42.8583	58.4551	50.197	55.6713	59.5955	54.1941	54.9282	57.7831	52.5647	60.0644	60.6246	45.9011	
CHEBI:26986	C4H9NO3			Threonine					1376	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										401.976	223.6998	431.7154	412.7882	415.2287	409.1526	461.6123	439.1484	388.3426	420.155	390.6374	385.6185	237.2195	398.4268	443.4518	438.1147	400.543	444.6037	434.7979	276.7448	194.4156	399.0039	390.3956	423.2653	267.4375	397.5761	417.9369	393.202	186.4904	436.1676	334.9425	350.7743	173.8866	462.0042	412.7651	322.2012	324.6489	363.2767	253.9756	310.053	285.5233	309.0878	320.9653	376.1899	289.8831	302.8908	317.4864	241.5381	375.3753	288.1952	
unknown				PR-MST					1390	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										75.8936	30.3758	59.1773	63.692	56.2883	64.6041	64.4753	65.1057	54.1138	65.6869	62.3461	82.7122	38.4326	51.5174	90.3184	73.8538	62.3388	64.4061	68.5816	40.931	27.8675	60.9388	54.0301	56.8091	46.2105	56.3943	60.3182	68.6109	25.6919	60.5051	55.4219	47.8107	22.6113	59.6977	62.7112	50.5382	58.2356	98.1988	70.6403	84.0265	84.8512	78.7699	98.0609	85.3353	69.8242	89.5637	103.1333	109.6746	87.1154	66.4183	
unknown				PR-MST					1403	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										9.7451	6.6967	8.9523	11.1587	8.3065	10.7417	10.2238	10.7285	8.7124	9.8141	8.0086	10.9457	4.7816	9.0459	11.6204	13.4619	9.8898	9.7715	9.3169	7.8613	6.4476	8.9703	9.6539	8.8939	8.3509	7.8556	8.7377	10.0572	4.6556	8.7609	8.4169	8.9718	4.1453	9.7306	8.1109	9.1004	7.8461	23.291	17.5839	18.0861	20.2975	19.106	21.0955	20.0834	15.9855	19.3741	22.5478	21.0508	19.0365	15.1891	
unknown				PR-MST					1419	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										13.8711	7.4568	13.8663	13.4663	13.9831	11.395	16.7278	14.273	12.294	13.0092	20.0388	13.2386	6.7569	7.4112	12.9517	15.458	11.351	10.982	16.4663	4.0503	3.2557	9.7592	8.4278	13.3616	4.0717	9.0815	10.9679	9.1153	4.3377	9.9632	6.8889	7.9522	4.0499	9.1315	8.5782	6.2128	13.8583	8.7488	8.7643	6.724	7.4902	7.2437	7.2565	10.0246	5.9175	5.5146	5.8455	23.4312	7.8322	5.8302	
CHEBI:16958	C3H7NO2	C(CN)C(=O)O	InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	beta-Alanine					1422	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										42.671	23.7008	49.1443	45.8338	44.1981	47.5145	45.7202	48.3646	42.8206	49.5409	47.8332	44.5523	24.2617	38.4215	44.461	56.4007	43.8264	48.0103	48.587	30.4736	21.0221	42.3084	44.0445	41.9307	28.7763	44.8913	44.9181	44.4607	23.9034	50.4769	38.0127	42.6058	22.3917	48.1195	45.0318	38.1492	35.991	56.4657	41.9505	53.1342	48.6124	48.8281	55.6259	57.2151	50.1841	58.0615	53.7784	50.5163	56.9783	46.0354	
CHEBI:33947	C4H8O4			Threose					1433	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										35.3551	16.2471	34.6812	32.0273	31.9477	39.0205	36.1066	35.6153	30.576	39.7362	11.0002	43.7308	21.8069	27.3811	32.3826	46.3268	31.568	35.3447	32.9257	15.1693	11.869	31.6167	30.0075	25.037	16.4298	36.8714	25.4508	36.5479	14.4745	32.8305	25.2682	27.8731	14.5166	31.3002	32.0944	23.9231	16.9864	9.2168	12.7569	26.5043	25.7975	30.1538	31.468	17.3897	32.9773	26.9552	25.0608	27.5073	30.7828	19.4639	
CHEBI:30653	C4H9NO3	C(CO)C(C(=O)O)N	InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)	Homoserine					1439	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										7.6096	5.1288	8.7802	7.2246	8.5052	7.3425	7.6878	9.6906	10.0963	7.872	7.6139	8.4953	5.3009	7.3268	9.9412	8.4797	8.6313	7.8292	8.0334	5.0756	4.8434	7.5605	8.7241	8.4441	5.7977	7.4808	7.7463	7.3732	4.8339	8.0041	7.6272	6.7112	5.0024	7.6491	7.4163	6.8131	7.0441	12.7084	9.2307	12.3798	10.1486	11.9091	10.314	10.5841	9.3932	9.9352	11.699	10.6724	10.9359	9.0693	
unknown				PR-MST					1441	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										8.3194	7.7292	11.6655	8.2994	8.6181	9.8964	7.7098	9.397	8.8719	10.5398	8.6589	8.9331	6.4939	10.0792	10.1738	11.1772	8.4317	10.7015	10.1302	7.8428	7.5585	8.5654	10.2117	9.9178	8.6329	8.9781	8.2367	10.2545	7.8666	8.4932	8.2228	8.0412	7.977	9.6413	8.3578	8.7063	8.4418	10.9769	8.1996	10.9024	11.8122	10.2064	10.86	10.0198	9.013	9.3025	10.0958	9.0049	11.1665	6.5911	
unknown				MST					1452	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										124.6355	123.619	135.6332	194.5241	225.0378	264.8394	143.6686	226.0836	266.636	149.2517	352.6954	293.5081	123.6639	245.2557	363.6236	228.0549	260.406	216.5723	273.2303	211.8555	170.0084	251.1172	265.8654	309.1084	152.9267	280.8679	358.7215	274.1901	148.1226	366.029	303.1704	246.2198	119.5637	384.6905	267.0009	263.0395	367.38	620.6335	389.1762	531.1062	404.8135	349.8989	368.7903	478.0192	360.3139	492.0988	443.4707	437.9263	400.2864	479.0753	
unknown				PR-MST					1453	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										1.7699	0.33996	3.1898	6.028	2.7536	0.69568	3.1708	1.6673	0.95641	2.5471	6.3328	0.86726	3.0786	1.209	2.9974	1.2963	1.05	1.3723	2.4476	0.51629	0.28344	2.2665	0.19558	1.905	1.0402	1.9907	2.1382	1.021	3.4078	1.6735	0.79543	0.57582	1.5021	1.8398	2.2828	0.34782	3.2176	18.4617	9.7384	8.5791	7.7327	5.4584	5.5291	12.5597	4.3195	5.2832	7.3891	0.081902	8.8666	16.9898	
unknown				MST					1463	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										26.3435	17.7771	49.3243	41.6047	34.1377	27.5379	39.2067	33.7735	27.6221	44.2905	39.3955	28.8495	32.335	24.8316	34.1999	27.7599	27.7804	28.5434	40.3758	20.0283	18.6461	31.8236	23.0835	23.837	24.6337	31.7385	27.5732	27.3541	22.9094	27.3581	26.162	21.1373	21.5644	24.8406	29.6067	21.6173	20.6016	38.0598	30.53	31.7683	36.952	39.5004	39.4687	34.402	31.3118	36.2732	37.2463	26.4173	40.9485	44.0464	
unknown				MST					1465	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										287.7676	169.155	393.7845	348.8512	276.0023	330.0126	410.8379	354.6488	329.4541	363.6405	315.5762	340.9163	181.9747	256.4289	389.7697	249.1984	275.4972	275.0233	313.1933	141.4641	110.154	236.1255	180.1474	183.7669	181.0516	262.08	210.0807	186.3017	84.5453	206.2549	191.6769	131.7773	89.0606	188.5125	211.7212	129.0002	107.3381	311.5349	196.31	296.1105	289.0846	293.2798	298.7742	239.6037	232.5257	297.1547	289.1183	220.2792	307.4984	223.6805	
CHEBI:15595	C4H4O5-2	C(C(C(=O)[O-])O)C(=O)[O-]	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2	Malate					1476	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										358.4716	210.6968	523.3589	513.3548	334.15	362.2388	686.2016	443.4087	348.8547	453.2316	411.4241	436.3709	300.7554	358.4363	506.0349	370.2638	388.1183	364.7577	372.818	219.0675	140.1423	313.3492	351.6701	403.7808	254.7745	332.0505	314.0859	363.3968	170.7435	373.464	357.1147	316.1725	179.1557	407.8003	461.2571	280.8689	262.4972	613.1009	604.3868	775.3025	696.8987	635.603	708.984	639.3067	503.5634	552.8871	715.3048	513.0094	850.2871	726.1773	
CHEBI:26981	C4H10O4			Threitol					1484	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										7.6286	6.8015	7.8415	8.6806	7.7818	7.9796	9.1346	9.675	9.7162	8.3414	8.6753	7.5122	5.8117	7.8558	10.7501	8.8413	9.5327	8.0844	8.0676	6.6604	5.9631	7.5845	7.7294	7.2951	7.0448	6.4025	9.0245	8.3146	4.2118	7.8854	7.5819	7.0105	4.1296	8.2784	7.2205	7.282	6.9813	8.1659	6.4574	7.828	6.1244	8.55	8.531	6.3671	7.6137	6.7039	7.8244	7.5016	6.3953	7.3366	
CHEBI:17113	C4H10O4	C(C(C(CO)O)O)O	InChI=1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+	Erythritol					1493	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										24.5072	15.5887	29.2792	23.9994	24.4456	25.8406	27.1358	25.1008	26.7167	27.7171	24.0045	24.9472	16.5564	25.7378	25.9142	24.8259	23.2473	26.9109	28.6929	16.4062	13.3194	22.1406	23.409	25.4302	15.4556	25.8627	25.0952	22.5268	14.4041	25.827	19.3952	22.554	12.7112	23.5692	24.8146	20.4464	18.4919	32.9394	26.6864	34.8972	28.0525	27.8648	27.9558	39.2614	24.3057	24.2845	32.2606	30.9032	32.0618	26.9155	
unknown				MST					1499	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										208.8652	115.0824	313.6386	323.6258	352.4162	306.622	254.5543	262.2686	291.8205	338.4624	463.4924	241.2121	182.6536	194.4903	339.0359	319.6356	310.9716	288.881	359.8065	150.7163	152.9174	320.2138	303.2343	369.0069	127.3358	339.0013	364.7213	285.568	181.5193	394.3298	271.5611	253.2281	155.2488	356.7624	367.5794	304.4932	396.7397	390.6133	316.4954	337.7577	363.7225	295.2474	259.9952	433.9892	300.6286	260.1956	247.9067	285.7565	353.6294	304.3825	
CHEBI:30762	C7H5O3-	Oc1ccccc1C([O-])=O	InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)/p-1	Salicylate					1506	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										636.2005	483.1514	628.5008	640.4085	607.0143	622.9005	643.4177	636.0456	606.9749	602.0161	626.5812	667.121	489.8269	566.6589	644.9581	599.068	601.2845	630.0182	644.2381	531.3837	502.9326	645.0548	602.0735	601.2055	568.2768	640.8791	640.2824	643.0275	487.9588	651.1944	623.4836	615.3393	458.0195	635.8409	632.7692	591.5644	603.1039	655.2792	547.9377	673.829	619.7283	620.5837	631.34	600.3925	596.4566	657.5969	639.5651	670.1202	614.3153	590.8227	
CHEBI:29995	C4H5NO4-2	NC(CC([O-])=O)C([O-])=O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-2	Aspartate					1510	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										1040.6045	615.4763	1111.3673	1166.427	1043.1185	1048.895	1090.3813	1157.6887	1158.4876	1075.2375	1010.2271	993.3388	611.6448	1054.8925	1089.3137	1172.4036	1112.631	1202.5966	1109.9265	746.0818	520.8804	986.1878	1076.9575	1103.0283	710.6138	1039.0133	1023.2117	1075.4467	488.5734	1115.3084	816.6918	852.7072	516.1124	1104.8297	999.6104	741.9188	797.5108	1097.2504	853.9285	1143.3584	949.8047	1106.3508	1144.5861	1015.8275	973.2947	1059.3667	1164.047	850.2321	1194.8031	955.5395	
CHEBI:16811	C5H11NO2S	CSCCC(C(=O)O)N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	Methionine					1515	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										9.1897	5.7479	12.4406	9.9567	10.203	10.8741	10.276	10.7184	10.0476	10.3776	10.9615	11.3777	5.5068	8.3989	13.2085	12.6245	13.6487	12.1408	10.8497	8.3657	6.8181	11.698	10.934	11.8319	8.6138	11.3174	12.8826	11.9575	6.9532	13.7382	12.2399	10.6204	5.4862	12.3667	12.1134	12.1263	10.9334	405.0482	266.4117	292.3629	238.7268	361.1173	392.2692	285.4139	379.443	369.0105	426.2494	399.2596	305.5254	459.5073	
CHEBI:57606	C5H6NO3-	[O-]C(=O)C1CCC(=O)N1	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/p-1	Pyroglutamate					1521	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										2812.3992	1978.2517	2601.6041	2802.0753	2571.3688	2681.2992	2535.8161	3075.3038	3304.9682	2422.4107	2756.6632	3434.1388	1727.9955	2677.4484	3010.1633	3292.8196	2967.4908	2927.6828	2750.8545	2535.2959	1975.1554	2586.5292	2958.123	2833.7553	2584.9929	2695.2453	2903.4298	2912.3716	1838.7876	3156.4517	2914.8019	3139.0446	1735.9923	3170.3466	2611.9465	3226.3226	2540.3556	2793.0414	1996.7144	2747.2602	2298.6795	2478.3615	2596.1226	2449.5929	2523.6192	2982.7947	2729.4921	3186.5577	2438.0171	2211.1297	
CHEBI:30566	C4H8NO2-	NCCCC([O-])=O	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)/p-1	gamma-Amino-n-butyrate					1525	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										81.343	57.0431	60.2969	71.87	56.2593	196.5268	59.1784	84.1686	71.0547	76.5491	186.8368	167.2285	50.0943	60.5561	89.9372	329.1198	62.6999	107.3451	93.4143	75.4867	51.0782	106.8679	88.881	81.6257	71.975	84.2043	120.6608	92.2509	42.7728	101.7157	165.1287	152.1617	85.0395	125.3042	107.7045	153.932	81.725	57.6796	54.4296	65.6048	52.4467	63.5376	65.046	66.8173	58.7524	69.2889	58.6188	116.0192	90.3971	55.9059	
CHEBI:15243	C4H7O5-			Threonate					1544	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										1438.9685	874.2874	1653.5646	1524.1585	1279.8294	1537.9764	1679.6165	1610.8235	1542.2817	1561.0959	1364.9112	1630.1704	891.4298	1269.3811	1705.1571	1436.4882	1299.3302	1382.9359	1383.8443	802.785	589.718	1068.777	1111.1172	1083.6974	981.2319	1235.2895	1062.5142	1126.8835	457.6793	1124.5216	954.2043	865.9391	487.851	1076.6064	1046.8153	769.6243	652.188	1361.1008	939.3598	1385.7695	1292.7301	1299.2715	1349.364	1149.5076	1198.1588	1456.4134	1309.2672	1190.7113	1405.8692	1018.6073	
unknown				MST					1553	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										19.1117	14.8911	19.9488	23.5879	25.4671	26.4189	17.5896	23.5037	26.9479	21.3815	33.7611	27.9696	15.8064	20.9135	28.7714	33.7563	22.5743	26.0484	24.1636	21.0824	17.4227	24.2071	28.3043	28.1118	19.6904	26.6104	27.9078	27.0145	16.1792	31.0029	27.0959	29.5609	15.3969	32.732	26.9158	35.0953	30.6311	32.1137	21.0211	28.0773	26.2227	23.1841	23.064	31.1955	25.15	31.1436	26.2727	22.5732	27.2616	20.2904	
CHEBI:17822	C3H7NO3	NC(CO)C(O)=O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	Serine					1565	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										58.8968	29.7301	104.0671	89.9168	86.3456	76.1199	85.1914	71.1134	57.7731	85.7743	80.8388	45.8827	58.7597	51.8567	81.9381	48.6923	76.7513	61.3567	110.938	30.5541	29.3022	88.781	56.3705	94.4703	27.5949	77.4768	88.6964	56.7847	47.0807	66.4625	45.2415	46.1524	31.6522	64.4174	72.9025	43.4018	72.6624	83.3493	80.7204	59.2603	75.839	61.7092	51.5287	103.8655	59.4244	50.9411	44.6412	39.1043	61.0291	75.281	
unknown				MST					1572	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										23.9033	17.5142	29.3832	23.3429	27.1521	28.3515	30.6594	29.8525	24.2327	30.5261	30.8595	27.8898	19.297	19.5418	29.773	33.1458	24.1848	23.7928	28.3797	17.4588	15.4231	22.012	23.281	26.7528	19.4	25.5217	23.5672	26.7317	12.5434	20.491	16.5955	19.5855	15.0212	24.7486	20.8254	17.4927	19.3882	23.2512	21.2465	24.3911	21.0133	26.2726	26.7929	25.9828	24.6154	24.8415	18.9503	20.2278	22.864	21.096	
unknown				MST					1576	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										22.8977	18.3287	16.9499	28.5658	28.4143	37.1234	17.4615	30.1954	33.0227	22.7623	39.6583	35.4333	18.1988	23.1377	37.1002	39.7103	30.5817	33.7861	27.909	25.4288	22.1809	30.6178	34.4945	31.6109	24.8525	31.2318	34.6442	37.3242	21.1171	37.5928	34.6642	36.4074	19.2312	40.1348	29.0961	41.3776	36.7029	38.1203	24.2306	38.2207	29.8572	30.9866	31.7748	36.1201	33.2097	38.5802	33.1971	28.8015	29.2864	24.0669	
unknown				MST					1586	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										29.1788	16.3742	73.7149	85.2116	117.652	61.9082	64.8084	67.9344	75.5347	91.6577	148.2446	34.9988	33.3334	30.6898	82.3096	87.2084	75.7203	65.2803	92.6006	18.9853	23.9904	69.9628	61.3702	104.9157	13.2847	81.7778	86.7735	57.2292	43.2735	96.279	46.0983	46.0439	34.1132	94.4639	87.1496	52.2149	81.6764	86.7891	68.9314	52.9345	70.9521	50.9186	42.6752	104.9473	51.1423	32.3456	35.2077	5.0427	69.9573	81.4124	
CHEBI:18257	C5H12N2O2	C(CC(C(=O)O)N)CN	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m0/s1	Ornithine					1606	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										93.569	47.5236	92.446	113.4072	141.5039	74.6805	94.6018	80.2431	88.2618	101.6844	177.1372	81.9387	66.7534	78.0781	102.7073	95.9039	85.6894	84.944	85.6334	54.33	32.6584	6.9993	77.0617	138.1773	42.8579	92.716	78.2606	77.1303	55.1233	97.6124	62.9924	80.0013	59.5645	129.7765	149.6061	71.5881	136.2131	254.3244	184.5837	150.3256	169.0693	79.9644	66.3408	217.6637	112.0465	195.5765	119.707	56.6984	214.6171	288.1796	
CHEBI:29987	C5H7NO4-2	C(CC(=O)[O-])C(C(=O)[O-])N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/p-2/t3-/m0/s1	Glutamate					1608	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										1084.9345	576.587	832.9517	864.2979	807.441	933.9629	833.9419	1033.6891	1023.5438	876.3542	833.4413	1154.5858	468.7736	902.5148	1001.8256	1083.3327	952.3251	1053.7474	778.1772	712.8545	474.5706	813.5771	925.0487	779.5301	682.4973	882.8789	890.0095	978.4615	359.2789	1033.7272	883.865	938.8625	385.7725	1026.4471	866.1319	813.4469	683.5085	952.7212	599.1577	975.1336	791.1794	948.5387	1009.2795	819.417	929.1451	1134.9108	1101.6738	1008.1717	1013.716	768.8076	
unknown				PR-MST					1618	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										127.626	84.3383	206.3719	125.3131	140.0366	111.8582	160.8319	101.9741	72.298	153.4272	124.4066	111.3075	92.5135	147.3737	84.3569	137.1308	73.6939	104.9218	140.8185	69.5424	55.9058	104.2076	124.8177	132.0627	54.4227	118.0788	73.1031	79.6578	68.5362	78.8309	79.8747	116.2025	62.3176	97.8307	124.4587	81.4177	100.2854	158.9393	117.073	100.1691	131.0383	118.7619	106.6279	183.16	117.2259	124.5075	131.6579	92.4379	190.5245	110.2677	
CHEBI:28044	C9H11NO2	C1=CC=C(C=C1)CC(C(=O)O)N	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Phenylalanine					1625	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										34.9755	20.7159	33.4144	42.047	38.2747	44.7581	32.4758	36.6541	39.0108	37.8966	47.7465	46.1419	22.9157	32.9612	41.4151	52.5724	40.5413	41.2463	35.6984	26.644	19.7146	35.1077	37.7934	36.8917	25.3543	35.1864	41.5031	42.1625	22.4554	41.0563	35.4076	39.5358	25.745	46.0835	35.3812	35.027	32.3696	52.8677	36.2621	45.1045	37.3792	41.3625	42.9017	44.9175	41.3117	47.5296	41.372	39.9388	42.2537	41.8156	
CHEBI:18222	C5H10O5			Xylose					1638	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										25.2984	13.6218	28.1658	22.6886	23.1724	23.4951	26.8569	25.8501	23.4628	26.7752	23.836	23.6197	13.6077	18.6918	25.1871	27.0539	25.367	25.8874	26.6427	16.7584	11.3987	24.7484	22.0102	21.7948	14.2901	24.2463	22.4322	24.2744	11.3119	22.4604	21.114	21.7627	10.8067	22.6491	23.155	17.7248	20.0847	26.6522	20.0143	22.7296	20.3838	24.2012	26.1333	22.4248	23.0511	23.0847	21.2196	29.1305	21.6355	19.8448	
CHEBI:22599	C5H10O5			Arabinose					1645	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										16.6513	8.3475	14.8723	14.0026	15.2586	11.6675	14.8462	16.5713	12.0985	15.804	14.3994	14.961	9.2182	12.7079	14.5735	18.675	14.7112	13.4169	14.1109	7.92	5.1883	14.2438	12.6277	13.169	6.7085	11.9383	12.2483	12.4665	6.6763	12.8536	10.4135	13.1918	6.9241	13.354	14.9188	10.1225	12.4836	17.3984	16.7154	15.0371	14.6455	18.0296	18.1687	18.133	17.942	15.9412	17.2271	15.8262	16.6328	16.675	
CHEBI:17230	C4H9NO2S	NC(CCS)C(O)=O	InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)	Homocysteine					1656	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										0.303	0.20177	0.4625	0.26672	0.32497	0.52255	0.21217	0.2601	0.22379	0.21222	0.32534	0.46688	0.16338	0.26349	0.42846	0.31461	0.41785	0.29617	0.29398	0.30255	0.31047	0.34007	0.3575	0.27818	0.25242	0.2954	0.35526	0.31068	0.28993	0.28845	0.32642	0.23907	0.28923	0.38976	0.26789	0.51234	0.2436	16.7945	10.4072	12.8961	12.1359	11.8103	15.1195	14.2897	13.5395	15.6862	16.0499	15.2153	13.4874	11.5831	
CHEBI:22653	C4H8N2O3	NC(CC(N)=O)C(O)=O	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	Asparagine					1663	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										642.3086	373.8107	421.5593	495.6146	553.7	569.8234	450.5043	699.5293	690.3557	485.251	690.8572	857.0846	295.3211	562.407	719.424	988.933	578.1651	627.5266	481.9793	507.9887	341.4882	548.7919	690.8619	509.0296	475.5904	499.045	594.299	637.0604	281.6673	703.3997	662.9607	777.7079	228.9323	760.8719	502.3146	864.6796	558.9066	819.8063	453.5751	749.9192	509.2115	623.2692	719.0606	684.7593	679.451	942.7194	881.5306	591.9502	682.3986	520.2156	
CHEBI:33942	C5H10O5			Ribose					1672	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										12.7577	7.7809	13.1632	12.2696	12.4362	12.9459	13.3398	14.0287	12.4422	13.6499	12.4236	14.6585	8.4936	10.7386	16.8221	13.609	11.7903	14.0474	13.4974	8.1619	6.4562	11.3593	11.3246	12.5878	8.2585	12.2373	12.1594	13.2268	5.932	12.4474	11.0671	9.8861	5.8877	12.5377	12.5492	9.8116	10.3939	14.3523	12.0473	16.2951	13.4059	14.2443	16.1128	14.4913	15.0116	15.3199	17.1354	12.687	15.671	14.568	
unknown				MST					1680	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										20.4358	15.3186	21.4513	26.1825	27.7479	24.5758	20.0651	25.7168	28.1285	21.2332	38.6619	31.9717	13.7705	21.4396	28.922	37.8353	22.4017	27.893	27.9857	21.1247	16.8955	25.1942	28.8234	31.3708	23.1219	25.4941	27.5631	28.1669	15.7713	31.083	28.6583	31.9954	15.4045	36.1001	24.6204	37.3562	26.787	26.7898	17.2972	23.7239	22.2862	20.2262	22.6611	30.5571	21.3439	28.1413	25.0345	16.9748	23.8223	18.0756	
