database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	L_01_1	L_02_1	L_03_1	L_04_1	L_05_1	L_06_1	L_08_1	L_09_1	L_10_1	L_11_1	L_12_1	L_13_1	L_16_1	L_17_1	L_18_1	L_19_1	L_20_1	L_21_1	L_22_1	L_23_1	L_24_1	L_25_1	L_26_1	L_27_1	L_28_1	L_29_1	L_30_1	L_31_1	L_32_1	L_33_1	L_34_1	L_35_1	L_36_1	L_37_1	L_38_1	L_39_1	L_40_1	L_42_1	L_44_1	L_45_1	L_46_1	L_47_1	L_48_1	L_50_1	L_51_1	L_52_1	L_53_1	L_54_1	L_57_1	L_60_1	alkane_1
unknown				PR-MST					1195	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										8.5854	23.4002	18.1472	10.9282	16.3003	11.4907	9.4359	5.342	2.8076	15.5436	12.5881	7.1424	21.1942	17.3138	3.961	8.0287	3.5928	10.0096	18.128	22.692	26.327	11.5436	17.502	16.629	11.0519	20.3006	4.2211	8.1026	56.1437	4.979	14.9977	16.6976	49.0098	10.3919	15.4028	12.4789	16.9339	6.6872	8.0401	4.5782	17.0811	6.7368	5.1058	11.6707	9.669	11.2574	8.841	4.3597	15.4152	5.0418	
CHEBI:27266	C5H11NO2	CC(C)C(N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)	Valine					1209	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										64.1615	44.8402	69.5186	84.8112	76.2912	81.9802	62.4818	69.9602	70.9133	75.26	84.7592	75.9052	38.2681	64.546	73.6844	86.1634	74.5144	81.7574	78.2001	57.9094	47.5066	74.6354	72.3241	73.066	54.6768	76.9866	78.3342	80.4932	46.7726	84.0575	71.3537	71.0395	44.874	86.5774	72.6605	62.2952	54.6329	74.9163	60.1357	72.2158	62.7753	68.4699	74.6123	74.3807	68.5449	69.7077	70.4752	65.0488	77.8616	66.2931	
unknown				PR-MST					1229	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										244.4518	119.7767	256.0966	234.4136	201.4219	222.2944	278.3049	251.6135	212.3978	256.2688	213.4624	279.7585	148.2537	197.5459	271.6817	222.6576	187.7586	200.4286	221.0412	114.2674	77.95	167.7848	144.3289	144.653	141.3604	178.9987	142.3991	157.5955	52.7877	157.803	138.8544	118.9945	59.6058	137.8217	170.1406	110.64	82.7798	214.5533	148.8717	204.2253	192.1895	224.7708	238.2487	175.4763	200.1699	243.004	219.7166	182.9935	249.4714	169.9205	
CHEBI:16199	CH4N2O	C(=O)(N)N	InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)	Urea					1252	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										4.2027	5.9268	39.2559	33.2102	31.1105	29.8999	38.5686	34.6848	31.3742	37.9732	30.9766	3.931	5.9314	38.508	35.4343	2.9246	23.4836	32.6124	1.7979	24.1523	19.0744	0.63027	23.5954	26.3736	5.5403	1.6913	27.4653	26.7117	15.6978	27.7759	33.8033	28.4737	4.1054	26.3298	29.8942	23.9303	2.3627	27.7544	26.162	26.34	0.65931	33.7913	30.6926	0.035628	32.5055	24.2352	0.33044	25.9495	31.6935	23.7119	
CHEBI:16000	C2H7NO	C(CO)N	InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2	Ethanolamine					1263	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										29.6861	21.8847	51.0036	29.222	31.6487	34.2262	35.8294	27.9567	32.8655	38.3273	32.4979	29.5692	24.0207	38.4919	39.7831	48.1191	24.4651	48.7473	43.488	28.4586	21.5178	33.4758	51.6656	43.6185	27.548	36.1338	35.4334	48.3671	20.1626	43.4798	38.2963	33.4624	20.8657	40.122	34.8706	34.7209	33.748	48.0829	29.158	43.2625	42.6169	42.6289	42.1611	35.5887	37.8721	37.3866	40.1095	34.1124	44.8572	27.3247	
CHEBI:18367	O4P-3	[O-]P(=O)([O-])[O-]	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3	Phosphate					1264	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										1724.8435	1145.0396	2643.6485	2272.9726	2075.8033	2940.3108	2661.3759	2459.0045	3258.5041	2433.9748	1821.9979	2369.6632	1476.5448	2682.4153	2531.1117	2047.165	2453.1156	2916.0543	4022.6296	3571.8913	2895.9803	3889.5305	3309.9076	3938.919	2561.9258	4351.2911	3035.8566	3116.9916	3324.0601	2815.8271	3237.719	2934.4297	2019.7498	3307.3326	2744.8713	2720.6812	3483.477	2682.1793	2410.2272	3058.3122	3558.0284	2381.1589	2937.3517	3688.2182	2592.8997	3227.5553	3783.4185	2726.0261	2568.4563	2784.7923	
CHEBI:24898	C6H13NO2			Isoleucine					1287	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										33.8425	26.689	37.2983	48.6855	43.7825	51.8798	36.7444	40.1602	42.8621	42.7569	44.1806	41.1675	25.4643	37.4583	45.9521	50.9388	45.4874	51.7507	47.8331	38.8068	29.8115	47.7175	43.3765	45.8277	35.2222	49.9986	50.9012	54.8206	30.6113	54.3902	47.4207	40.5909	26.557	54.2787	46.3148	38.939	34.0322	55.8567	37.4242	42.9323	40.6937	42.4327	49.9404	48.7787	51.2514	51.0816	48.1257	38.2377	50.0926	45.3622	
CHEBI:26271	C5H9NO2	C1CC(NC1)C(=O)O	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	Proline					1295	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										893.4145	436.0225	696.0567	673.9267	531.6515	781.1016	901.8687	864.6613	1038.9861	662.2443	515.7802	761.1264	341.8611	875.2097	869.8392	951.4374	911.3722	839.8812	606.0771	626.4362	441.768	765.4648	868.8163	628.2041	606.099	649.8193	913.7361	827.4954	232.5581	903.5163	714.9455	700.3989	185.1219	941.8446	649.4077	759.2312	542.7471	911.2431	596.4804	945.3355	594.9526	813.6693	949.1365	791.8501	786.6541	833.9934	856.9832	725.5332	736.4766	728.0533	
CHEBI:15595	C4H4O5-2	C(C(C(=O)[O-])O)C(=O)[O-]	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2	Malate					1296	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										69.5046	48.6835	82.7915	77.7743	70.5809	71.172	91.7812	76.6201	81.4263	79.8051	72.1063	67.02	44.5404	65.9113	81.0468	74.8492	79.6074	74.8779	68.4656	52.6702	45.0866	61.4308	63.9401	67.7101	51.9359	67.5221	73.857	67.2479	43.8911	73.4503	64.0428	54.6192	44.3492	67.6438	72.3728	56.3083	54.0093	85.8125	64.6966	84.9844	65.8183	81.2782	87.5854	78.253	68.7581	68.7036	69.5261	72.6585	85.6695	72.7014	
CHEBI:15428	C2H5NO2	C(C(=O)O)N	InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)	Glycine					1301	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702	Arabidopsis thaliana										453.172	170.2358	240.4699	203.7238	306.3613	271.3295	297.1104	435.1112	300.5008	319.9	473.0224	437.9184	145.4695	258.2997	338.0041	367.8411	360.6831	235.5777	345.9012	204.8591	186.2784	337.0956	222.2347	291.3425	250.1399	363.0233	311.0126	338.847	151.8124	240.7899	276.4481	215.9734	132.653	316.6217	189.4694	278.0667	303.4982	384.573	304.2171	357.9203	370.172	257.3786	246.8278	451.199	247.7575	410.521	345.996	318.7761	323.5857	190.6897	
